epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,2294.29,0.87064,1.42032,0.87106,0.88337,0.92249,0.94529,0.9755,0.87158,0.92249,0.94529,0.97529,0.75491,0.4959,0.88846,0.52557,0.80232,0.000192008,0.000192008,0.000192008
111,2314.42,0.83839,1.41837,0.8642,0.8831,0.91464,0.89173,0.95283,0.85246,0.91464,0.89173,0.95049,0.72309,0.50034,0.88664,0.58503,0.79939,0.000189943,0.000189943,0.000189943
112,2335.23,0.82314,1.37521,0.84413,0.87927,0.92461,0.92111,0.96703,0.8592,0.92461,0.92111,0.96654,0.74574,0.51716,0.9088,0.5649,0.80268,0.000187879,0.000187879,0.000187879
113,2355.89,0.86184,1.46971,0.87671,0.88453,0.91437,0.94141,0.96441,0.86314,0.91437,0.94141,0.964,0.72457,0.48358,0.88469,0.54804,0.79797,0.000185815,0.000185815,0.000185815
114,2376.77,0.8438,1.39055,0.85173,0.87745,0.90786,0.94111,0.97194,0.86817,0.90786,0.94111,0.97098,0.74186,0.48528,0.88966,0.53824,0.79837,0.000183751,0.000183751,0.000183751
115,2397.45,0.83406,1.40941,0.85331,0.88145,0.92556,0.95789,0.98019,0.88004,0.92464,0.95452,0.97719,0.74494,0.47876,0.89968,0.51231,0.79887,0.000181687,0.000181687,0.000181687
116,2418.58,0.85229,1.41054,0.86465,0.88867,0.94339,0.94673,0.97986,0.87794,0.94339,0.94673,0.97986,0.76071,0.50742,0.88675,0.52299,0.80118,0.000179623,0.000179623,0.000179623
117,2439.29,0.81739,1.38022,0.8304,0.87487,0.92627,0.95196,0.97845,0.87691,0.93731,0.93139,0.97594,0.74821,0.49109,0.92346,0.50927,0.79869,0.000177559,0.000177559,0.000177559
118,2460.06,0.83685,1.42627,0.83818,0.88441,0.94535,0.95128,0.97567,0.87372,0.94494,0.9485,0.97428,0.73597,0.49136,0.90659,0.51999,0.79917,0.000175494,0.000175494,0.000175494
119,2480.84,0.81621,1.35873,0.82214,0.87696,0.93538,0.92037,0.9695,0.86883,0.93538,0.92037,0.96816,0.75238,0.49213,0.88449,0.53475,0.79882,0.00017343,0.00017343,0.00017343
120,2501.6,0.81733,1.35119,0.82444,0.87437,0.94604,0.94679,0.97633,0.87654,0.94604,0.94679,0.97587,0.75133,0.48956,0.86651,0.52363,0.79876,0.000171366,0.000171366,0.000171366
121,2522.1,0.82953,1.37248,0.82515,0.88007,0.93806,0.94935,0.96862,0.8593,0.93806,0.94935,0.96846,0.74,0.51265,0.91785,0.52357,0.80128,0.000169302,0.000169302,0.000169302
122,2542.59,0.81525,1.38871,0.80733,0.87251,0.93608,0.94152,0.96873,0.86343,0.93608,0.94152,0.96873,0.73753,0.49341,0.92257,0.52344,0.79976,0.000167238,0.000167238,0.000167238
